# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5.8SrRNA:CR40454	FBgn0250731	FBtr0346901	rRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPdeam	FBgn0052626	FBtr0073833	protein_coding	0	1	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	7
AMPdeam	FBgn0052626	FBtr0301044	protein_coding	0	1	0	31	0	0	0	0	0	0	0	3	0	0	13	0	0	0	0	0	0	0	0	0	1	15
AMPdeam	FBgn0052626	FBtr0301045	protein_coding	1	2	0	15	0	0	2	0	0	0	0	3	0	0	2	0	0	0	0	1	2	0	0	0	1	9
AMPdeam	FBgn0052626	FBtr0301046	protein_coding	0	1	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	11
AMPdeam	FBgn0052626	FBtr0303292	protein_coding	0	1	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	11
AMPdeam	FBgn0052626	FBtr0309245	protein_coding	0	0	0	32	1	0	0	0	0	0	0	3	0	0	13	0	0	0	0	0	0	0	0	0	0	15
AMPdeam	FBgn0052626	FBtr0309246	protein_coding	0	1	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	11
AMPdeam	FBgn0052626	FBtr0340444	protein_coding	1	2	1	13	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0	1	2	0	0	0	1	9
AMPdeam	FBgn0052626	FBtr0340445	protein_coding	0	1	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	11
AP-1-2beta	FBgn0010380	FBtr0074789	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AP-1gamma	FBgn0030089	FBtr0071294	protein_coding	0	7	0	47	0	0	1	0	0	0	0	8	0	0	30	0	0	0	0	0	1	0	0	0	6	9
AP-1gamma	FBgn0030089	FBtr0071295	protein_coding	0	8	0	46	0	1	3	0	0	0	0	8	0	0	13	0	0	0	0	0	1	0	0	0	6	23
AP-1gamma	FBgn0030089	FBtr0071296	protein_coding	0	7	0	47	0	0	1	0	0	0	0	8	0	0	30	0	0	0	0	0	1	0	0	0	6	9
AP-1gamma	FBgn0030089	FBtr0071297	protein_coding	0	8	0	46	0	1	3	0	0	0	0	8	0	0	13	0	0	0	0	0	1	0	0	0	6	23
AP-1gamma	FBgn0030089	FBtr0071298	protein_coding	0	8	0	46	0	1	3	0	0	0	0	8	0	0	13	0	0	0	0	0	1	0	0	0	6	23
AP-1gamma	FBgn0030089	FBtr0112965	protein_coding	0	8	0	46	0	1	3	0	0	0	0	8	0	0	13	0	0	0	0	0	1	0	0	0	6	23
AP-1gamma	FBgn0030089	FBtr0309254	protein_coding	0	7	0	46	0	0	2	0	0	0	0	8	0	0	12	0	0	0	0	0	1	0	0	0	6	25
AP-1gamma	FBgn0030089	FBtr0309255	protein_coding	0	8	0	46	0	1	3	0	0	0	0	8	0	0	13	0	0	0	0	0	1	0	0	0	6	23
AP-1gamma	FBgn0030089	FBtr0333808	protein_coding	0	8	0	46	0	1	4	0	0	0	0	8	0	0	12	0	0	0	0	0	1	0	0	0	6	23
APC4	FBgn0052707	FBtr0071285	protein_coding	0	2	0	6	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	2
APC4	FBgn0052707	FBtr0309872	protein_coding	0	2	0	6	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	2
APC7	FBgn0029879	FBtr0070946	protein_coding	0	17	4	88	9	0	0	0	0	0	0	30	0	0	7	4	0	0	0	0	0	0	0	0	17	42
APC7	FBgn0029879	FBtr0070947	protein_coding	0	17	4	90	9	2	4	0	0	0	0	30	0	0	5	4	0	0	0	0	0	0	0	0	15	42
ATP7	FBgn0030343	FBtr0273257	protein_coding	0	3	4	54	0	0	0	0	0	0	0	5	0	0	33	4	0	0	0	0	0	0	0	0	3	16
ATP7	FBgn0030343	FBtr0334454	protein_coding	0	3	4	54	1	0	0	0	0	0	0	4	0	0	33	4	0	0	0	0	0	0	0	0	3	16
Aats-arg	FBgn0027093	FBtr0074178	protein_coding	0	1	0	34	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	1	26
Aats-his	FBgn0027087	FBtr0074593	protein_coding	0	0	1	49	0	0	0	0	0	0	0	14	0	0	7	1	0	0	0	0	0	0	0	0	0	28
Aats-his	FBgn0027087	FBtr0333804	protein_coding	0	0	1	49	0	0	0	0	0	0	0	14	0	0	7	1	0	0	0	0	0	0	0	0	0	28
Aats-his	FBgn0027087	FBtr0333805	protein_coding	0	0	1	49	0	0	0	0	0	0	0	14	0	0	7	1	0	0	0	0	0	0	0	0	0	28
Aats-his	FBgn0027087	FBtr0333806	protein_coding	0	0	1	49	0	0	0	0	0	0	0	14	0	0	7	1	0	0	0	0	0	0	0	0	0	28
Aats-lys	FBgn0027084	FBtr0071366	protein_coding	0	2	0	54	0	0	2	0	0	0	0	5	0	0	9	0	0	0	0	0	2	0	0	0	0	40
Aats-lys	FBgn0027084	FBtr0071367	protein_coding	0	2	0	54	0	0	1	0	0	0	0	5	0	0	8	0	0	0	0	0	2	0	0	0	0	42
Aats-lys	FBgn0027084	FBtr0303560	protein_coding	0	2	0	54	0	0	1	0	0	0	0	5	0	0	8	0	0	0	0	0	2	0	0	0	0	42
Ac13E	FBgn0022710	FBtr0074073	protein_coding	0	16	4	83	4	1	1	0	0	0	0	30	0	0	17	4	0	0	0	0	1	0	0	0	14	31
Ac13E	FBgn0022710	FBtr0100142	protein_coding	0	16	4	83	10	1	1	0	0	0	0	24	0	0	17	4	0	0	0	0	1	0	0	0	14	31
Ac13E	FBgn0022710	FBtr0332497	protein_coding	0	14	4	181	8	0	0	0	0	0	0	26	0	0	145	4	0	0	0	0	0	0	0	0	14	2
Act5C	FBgn0000042	FBtr0070822	protein_coding	0	0	0	25	1	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	17
Act5C	FBgn0000042	FBtr0070823	protein_coding	0	0	0	24	1	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	15
Act5C	FBgn0000042	FBtr0100662	protein_coding	0	0	0	26	1	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	17
Act5C	FBgn0000042	FBtr0100663	protein_coding	0	0	0	25	1	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	17
Act5C	FBgn0000042	FBtr0345894	protein_coding	0	0	0	28	1	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	17
Actn	FBgn0000667	FBtr0070343	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn	FBgn0000667	FBtr0070344	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn	FBgn0000667	FBtr0070345	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn	FBgn0000667	FBtr0303048	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn	FBgn0000667	FBtr0310657	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn	FBgn0000667	FBtr0310658	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn	FBgn0000667	FBtr0310659	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn	FBgn0000667	FBtr0333801	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn	FBgn0000667	FBtr0333802	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ag5r	FBgn0015010	FBtr0073937	protein_coding	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Ag5r	FBgn0015010	FBtr0305582	protein_coding	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Ag5r	FBgn0015010	FBtr0333658	protein_coding	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Ag5r2	FBgn0020508	FBtr0073938	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Ahcy13	FBgn0014455	FBtr0074030	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ahcy13	FBgn0014455	FBtr0332590	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahcy13	FBgn0014455	FBtr0346181	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AlkB	FBgn0065035	FBtr0074168	protein_coding	0	0	1	7	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	5
Alr	FBgn0031068	FBtr0074794	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Alr	FBgn0031068	FBtr0331763	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Amun	FBgn0030328	FBtr0073615	protein_coding	0	0	0	28	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Amun	FBgn0030328	FBtr0073616	protein_coding	0	0	0	27	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Amun	FBgn0030328	FBtr0073617	protein_coding	0	0	0	27	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Amun	FBgn0030328	FBtr0073618	protein_coding	0	0	0	27	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Amun	FBgn0030328	FBtr0073619	protein_coding	0	0	0	28	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Amun	FBgn0030328	FBtr0303336	protein_coding	0	0	0	27	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Amun	FBgn0030328	FBtr0303337	protein_coding	0	0	0	27	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Amun	FBgn0030328	FBtr0303338	protein_coding	0	0	0	27	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Amun	FBgn0030328	FBtr0303339	protein_coding	0	0	0	27	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Amun	FBgn0030328	FBtr0333796	protein_coding	0	0	0	27	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Amun	FBgn0030328	FBtr0333797	protein_coding	0	0	0	27	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	15
Amun	FBgn0030328	FBtr0345164	protein_coding	0	0	0	23	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Andorra	FBgn0030898	FBtr0074591	protein_coding	2	2	0	15	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	13
Ant2	FBgn0025111	FBtr0073425	protein_coding	0	0	0	8	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	3
Ant2	FBgn0025111	FBtr0073426	protein_coding	0	0	0	12	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	3
Ant2	FBgn0025111	FBtr0333963	protein_coding	0	0	0	8	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	3
AnxB11	FBgn0030749	FBtr0074302	protein_coding	0	0	0	24	0	0	0	0	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	13
AnxB11	FBgn0030749	FBtr0074303	protein_coding	0	0	0	23	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	16
AnxB11	FBgn0030749	FBtr0334038	protein_coding	0	0	0	24	1	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	13
AnxB11	FBgn0030749	FBtr0334039	protein_coding	0	0	0	25	3	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	13
AnxB11	FBgn0030749	FBtr0334040	protein_coding	0	0	0	25	3	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	17
AnxB11	FBgn0030749	FBtr0334041	protein_coding	0	0	0	24	1	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	13
AnxB11	FBgn0030749	FBtr0334042	protein_coding	0	1	0	25	3	1	2	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	13
Appl	FBgn0000108	FBtr0070109	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Appl	FBgn0000108	FBtr0307291	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Appl	FBgn0000108	FBtr0307292	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Appl	FBgn0000108	FBtr0307293	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Appl	FBgn0000108	FBtr0307294	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Appl	FBgn0000108	FBtr0307295	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Arfrp1	FBgn0030088	FBtr0071293	protein_coding	0	1	0	37	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	1	10
Arp2	FBgn0011742	FBtr0074295	protein_coding	0	0	0	22	0	0	1	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	0	0	0	7
Arp2	FBgn0011742	FBtr0112868	protein_coding	0	0	0	29	1	0	0	0	0	0	0	17	0	0	4	0	0	0	0	0	0	0	0	0	0	7
Arp2	FBgn0011742	FBtr0310673	protein_coding	0	0	0	22	0	0	1	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	0	0	0	7
Arp6	FBgn0011741	FBtr0074203	protein_coding	0	0	0	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Arp8	FBgn0030877	FBtr0074544	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Arpc3B	FBgn0065032	FBtr0074410	protein_coding	0	0	0	16	1	0	0	0	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	2
Arpc3B	FBgn0065032	FBtr0113478	protein_coding	0	0	0	16	1	0	0	0	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	2
Arpc3B	FBgn0065032	FBtr0334462	protein_coding	0	0	0	16	1	0	0	0	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	2
AstA-R1	FBgn0266429	FBtr0070575	protein_coding	0	2	1	208	8	0	0	0	0	0	0	12	0	0	179	1	0	0	0	0	0	0	0	0	2	9
AstA-R1	FBgn0266429	FBtr0333798	protein_coding	0	2	1	208	8	0	0	0	0	0	0	12	0	0	179	1	0	0	0	0	0	0	0	0	2	9
Atf3	FBgn0028550	FBtr0070244	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Atf3	FBgn0028550	FBtr0330391	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Atf3	FBgn0028550	FBtr0345507	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Atg101	FBgn0030960	FBtr0074635	protein_coding	0	0	0	33	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	30
Atg5	FBgn0029943	FBtr0071065	protein_coding	0	3	0	99	5	0	0	0	0	0	0	21	0	0	50	0	0	0	0	0	1	0	0	0	2	24
Atg8a	FBgn0052672	FBtr0071498	protein_coding	0	0	0	8	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Atg8a	FBgn0052672	FBtr0346375	protein_coding	0	0	0	7	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Atg8a	FBgn0052672	FBtr0346376	protein_coding	0	0	0	7	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Atx-1	FBgn0029907	FBtr0299814	protein_coding	0	0	0	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Aven	FBgn0030410	FBtr0073709	protein_coding	0	0	1	31	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	27
Aven	FBgn0030410	FBtr0346122	protein_coding	0	0	1	31	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	27
Axs	FBgn0000152	FBtr0074372	protein_coding	0	8	0	51	1	0	1	0	0	0	0	31	0	0	4	0	0	0	0	0	1	0	0	0	8	14
B-H1	FBgn0011758	FBtr0074430	protein_coding	0	3	1	35	1	0	0	0	0	0	0	27	0	0	2	1	0	0	0	0	0	0	0	0	3	5
B-H1	FBgn0011758	FBtr0334459	protein_coding	0	1	0	38	4	0	0	0	0	0	0	27	0	0	2	0	0	0	0	0	0	0	0	0	1	5
B-H2	FBgn0004854	FBtr0074429	protein_coding	0	7	1	158	2	0	0	0	0	0	0	79	0	0	73	1	0	0	0	0	0	0	0	0	7	4
B-H2	FBgn0004854	FBtr0334458	protein_coding	0	6	1	160	2	1	2	0	0	0	0	79	0	0	73	1	0	0	0	0	0	0	0	0	5	4
BCL7-like	FBgn0026149	FBtr0071358	protein_coding	0	1	0	19	2	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	11
BTBD9	FBgn0030228	FBtr0071497	protein_coding	0	1	1	8	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	3
BTBD9	FBgn0030228	FBtr0334456	protein_coding	0	1	1	8	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	3
Bap60	FBgn0025463	FBtr0073741	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Brms1	FBgn0030434	FBtr0073693	protein_coding	0	0	0	20	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Btd	FBgn0029848	FBtr0070878	protein_coding	0	12	5	130	6	0	2	0	0	0	0	69	0	0	0	5	0	0	0	0	0	0	0	0	12	53
Bteb2	FBgn0025679	FBtr0070735	protein_coding	0	2	0	38	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	18
BthD	FBgn0030501	FBtr0073806	protein_coding	0	3	0	43	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	2	0	0	0	1	34
Bx	FBgn0265598	FBtr0340363	protein_coding	0	3	0	247	1	0	0	0	0	0	0	11	0	0	208	0	0	0	0	0	1	0	0	0	2	28
Bx	FBgn0265598	FBtr0340364	protein_coding	0	3	0	181	1	0	1	0	0	0	0	11	0	0	124	0	0	0	0	0	1	0	0	0	2	45
Bx	FBgn0265598	FBtr0340365	protein_coding	0	4	0	56	1	0	0	0	0	0	0	11	0	0	26	0	0	0	0	0	2	0	0	0	2	20
Bx	FBgn0265598	FBtr0340366	protein_coding	0	4	0	185	5	0	0	0	0	0	0	12	0	0	125	0	0	0	0	0	2	0	0	0	2	45
Bx	FBgn0265598	FBtr0340367	protein_coding	0	3	0	181	1	0	1	0	0	0	0	11	0	0	124	0	0	0	0	0	1	0	0	0	2	45
Bx42	FBgn0004856	FBtr0071350	protein_coding	0	0	0	42	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	28
Bx42	FBgn0004856	FBtr0333809	protein_coding	0	0	0	42	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	28
C3G	FBgn0259228	FBtr0299791	protein_coding	0	3	5	63	7	0	2	0	0	0	0	9	0	0	37	5	0	0	0	0	0	0	0	0	3	8
C3G	FBgn0259228	FBtr0299792	protein_coding	0	5	5	47	3	0	0	0	0	0	0	9	0	0	26	5	0	0	0	0	3	0	0	0	2	10
C3G	FBgn0259228	FBtr0299793	protein_coding	0	4	5	58	3	0	0	0	0	0	0	9	0	0	36	5	0	0	0	0	2	0	0	0	2	10
C3G	FBgn0259228	FBtr0299794	protein_coding	0	4	5	58	3	0	0	0	0	0	0	9	0	0	36	5	0	0	0	0	2	0	0	0	2	10
C3G	FBgn0259228	FBtr0299795	protein_coding	0	5	5	47	3	0	0	0	0	0	0	9	0	0	26	5	0	0	0	0	3	0	0	0	2	10
C3G	FBgn0259228	FBtr0300526	protein_coding	0	5	5	39	3	0	1	0	0	0	0	9	0	0	13	5	0	0	0	0	2	0	0	0	3	13
C3G	FBgn0259228	FBtr0334967	protein_coding	0	4	5	60	3	0	1	0	0	0	0	9	0	0	39	5	0	0	0	0	2	0	0	0	2	8
C3G	FBgn0259228	FBtr0334968	protein_coding	0	4	5	48	3	0	0	0	0	0	0	9	0	0	26	5	0	0	0	0	2	0	0	0	2	10
C3G	FBgn0259228	FBtr0334969	protein_coding	0	4	5	58	3	0	0	0	0	0	0	9	0	0	36	5	0	0	0	0	2	0	0	0	2	10
C3G	FBgn0259228	FBtr0340087	protein_coding	0	2	5	64	7	0	1	0	0	0	0	9	0	0	39	5	0	0	0	0	0	0	0	0	2	8
C901	FBgn0021742	FBtr0073400	protein_coding	0	5	0	75	2	0	0	0	0	0	0	30	0	0	6	0	0	0	0	0	1	0	0	0	4	38
CBP	FBgn0026144	FBtr0071052	protein_coding	0	0	0	96	3	0	3	0	0	0	0	50	0	0	2	0	0	0	0	0	0	0	0	0	0	38
CBP	FBgn0026144	FBtr0071053	protein_coding	0	0	0	89	3	0	0	0	0	0	0	50	0	0	2	0	0	0	0	0	0	0	0	0	0	34
CBP	FBgn0026144	FBtr0329894	protein_coding	0	2	0	94	1	0	3	0	0	0	0	50	0	0	2	0	0	0	0	0	0	0	0	0	2	38
CCKLR-17D1	FBgn0259231	FBtr0299681	protein_coding	0	1	0	17	0	0	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	1	3
CCKLR-17D3	FBgn0030954	FBtr0113003	protein_coding	0	1	0	17	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	1	8
CDC45L	FBgn0026143	FBtr0070182	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CG10347	FBgn0030342	FBtr0073602	protein_coding	0	1	0	36	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	20
CG10347	FBgn0030342	FBtr0073603	protein_coding	0	1	0	36	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	20
